meanmax,Year
54.2,1901
52.95833333,1902
52.15,1903
54.39166667,1904
51.83333333,1907
52.61666667,1908
51.33333333,1909
54.66666667,1910
51.1,1911
50.40833333,1912
51.175,1913
54.26666667,1914
52.53333333,1915
49.75,1916
53.025,1917
52.91666667,1918
54.025,1919
51.675,1920
54.35,1921
51.85833333,1922
54.06666667,1923
51.91666667,1924
53.93333333,1925
53.96666667,1926
51.2,1927
53.95833333,1928
52.69166667,1929
54.05,1930
56.175,1931
53.30833333,1932
56.14166667,1933
59.94166667,1934
54.00833333,1935
54.69166667,1936
52.95,1937
54.51666667,1938
56.825,1939
55.425,1940
54.69166667,1941
52.40833333,1942
54.15833333,1943
54.15,1944
53.55833333,1945
55.70833333,1946
56.03333333,1947
55.34166667,1949
51.975,1951
55.68333333,1952
57.675,1953
56.33333333,1954
52.1,1955
55.33333333,1956
54.49166667,1957
56.85833333,1958
55,1959
56.03333333,1960
57.40833333,1961
55.55833333,1962
57.19166667,1963
55.525,1964
55.08333333,1965
57.23333333,1966
56.06666667,1967
55.05833333,1968
55.36666667,1969
55.56666667,1970
55.575,1971
55.43333333,1972
55.575,1973
57.45,1974
53.325,1975
57.7,1976
56.58333333,1977
54.93333333,1978
56.26666667,1979
56.85833333,1980
58.25,1981
53.59166667,1982
56.04166667,1983
55.76666667,1984
54.24166667,1985
57.575,1986
59.675,1987
59.68333333,1988
55.8,1989
58.14166667,1990
57.76666667,1991
58.90833333,1992
54.475,1993
59.35,1994
55.85,1996
55.625,1997
57.76666667,1998
58.94166667,1999
57.78333333,2000
59.15,2001
57.025,2002
59.71666667,2003
58.24166667,2004
58.91666667,2005
59.61666667,2006
60.05,2007
57.325,2008
57.075,2009
54.825,2010
55.5,2011
59.35833333,2012
55.94166667,2013
56.275,2014
