Year,Temperature,hectares
1985,57.72,11769.87721
1986,57.352,5649.411562
1987,57.792,2615.88799
1988,59.556,241368.2762
1989,56.452,1344.365703
1990,56.52,3030.286087
1991,56.632,13459.84445
1992,56.56,288.1361771
1993,53.812,156.2086578
1994,57.812,44585.43124
1995,54.536,253.7378975
1996,56.224,29183.90507
1997,55.32,267.4972094
1998,57.464,19089.42642
1999,55.312,3633.267694
2000,57.828,292624.9502
2001,57.768,58494.88144
2002,55.196,3180.42446
2003,58.548,224632.9062
2004,55.876,961.937771
2005,55.94,31494.2554
2006,58.908,261281.2379
2007,58.416,386940.5813
