In.your.opinion..which.sentence.is.more.gramatically.correct.,Prior.to.reading.about.it.above..had.you.heard.of.the.serial..or.Oxford..comma.,How.much..if.at.all..do.you.care.about.the.use..or.lack.thereof..of.the.serial..or.Oxford..comma.in.grammar.,How.would.you.write.the.following.sentence.,When.faced.with.using.the.word..data...have.you.ever.spent.time.considering.if.the.word.was.a.singular.or.plural.noun.,How.much..if.at.all..do.you.care.about.the.debate.over.the.use.of.the.word..data..as.a.singluar.or.plural.noun.,In.your.opinion..how.important.or.unimportant.is.proper.use.of.grammar.,Gender,Age,Household.Income,Education,Location..Census.Region.,isare,thoughtabout,careabout
"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat unimportant,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain,data is,no,Not much
"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,New England,data are,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",No,A lot,Very important,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,East North Central,data are,no,A lot
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain,data is,no,Not much
"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,30-44,"$150,000+",Bachelor degree,Pacific,data are,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,18-29,"$50,000 - $99,999",Bachelor degree,Mountain,data is,no,Not at all
"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,data is,no,Not at all
"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,18-29,"$50,000 - $99,999",Bachelor degree,East South Central,data is,yes,Some
"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,30-44,"$50,000 - $99,999",Graduate degree,West North Central,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not much,Somewhat important,Male,30-44,"$100,000 - $149,999",Graduate degree,West North Central,data are,no,Not much
"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain,data are,yes,Some
"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,data is,yes,Not much
"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific,data is,yes,Some
"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific,data is,no,Not at all
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Somewhat important,Male,18-29,"$100,000 - $149,999",Bachelor degree,South Atlantic,data are,yes,A lot
"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,18-29,"$0 - $24,999",Bachelor degree,Pacific,data is,yes,A lot
"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat unimportant,Male,18-29,"$150,000+",Some college or Associate degree,East North Central,data is,no,Some
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,data is,no,Some
"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,30-44,"$100,000 - $149,999",Graduate degree,West South Central,data is,no,Not at all
"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat unimportant,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,West North Central,data is,no,Not at all
"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific,data is,yes,A lot
"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,data is,yes,A lot
"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,18-29,"$25,000 - $49,999",High school degree,New England,data is,no,Not at all
"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,18-29,"$150,000+",Less than high school degree,West South Central,data is,yes,Not much
