Species,Treatment,Block,Massperha
HS,Control,1,1629.610
HS,Control,2,2151.090
HS,Control,3,1564.430
HS,Control,4,2151.090
HS,Control,5,1108.140
HS,Control,6,1564.430
HS,N12.5,1,1371.740
HS,N12.5,2,1481.480
HS,N12.5,3,877.910
HS,N12.5,4,932.780
HS,N12.5,5,1042.520
HS,N12.5,6,932.780
HS,N50,1,598.320
HS,N50,2,438.770
HS,N50,3,319.100
HS,N50,4,518.540
HS,N50,5,518.540
HS,N50,6,678.090
PS,Control,1,3091.650
PS,Control,2,2180.420
PS,Control,3,3807.610
PS,Control,4,2701.120
PS,Control,5,1562.100
PS,Control,6,1985.160
PS,N12.5,1,2762.220
PS,N12.5,2,2762.220
PS,N12.5,3,1820.560
PS,N12.5,4,1412.500
PS,N12.5,5,1224.170
PS,N12.5,6,3013.330
PS,N50,1,1164.170
PS,N50,2,1746.250
PS,N50,3,1833.560
PS,N50,4,1105.960
PS,N50,5,1222.370
PS,N50,6,1688.040
